Timestamp,EyeLeftDiameter,EyeRightDiameter,AverageLeftAndRight
0.16499,0,0,0.0
0.18569,0,0,0.0
0.205538,0,0,0.0
0.207547,0,0,0.0
0.228947,4.397343635559082,0,2.198671817779541
0.248905,0,0,0.0
0.259883,4.410844326019287,0,2.2054221630096436
0.268844,0,0,0.0
0.279008,4.408393383026123,0,2.2041966915130615
0.288912,4.296131134033203,4.121127128601074,4.208629131317139
0.298906,0,0,0.0
0.308941,4.364459037780762,4.306763648986816,4.335611343383789
0.318905,0,0,0.0
0.328991,4.353850364685059,0,2.1769251823425293
0.339019,4.312381267547607,0,2.1561906337738037
0.34901,4.301820755004883,0,2.1509103775024414
0.358997,4.404943943023682,0,2.202471971511841
0.369063,4.394883632659912,0,2.197441816329956
0.379087,4.448429584503174,0,2.224214792251587
0.389082,4.48468017578125,0,2.242340087890625
0.399068,4.381123065948486,4.221155166625977,4.3011391162872314
0.409135,4.401015281677246,0,2.200507640838623
0.41916,4.3162922859191895,4.18314790725708,4.249720096588135
0.429155,4.321551322937012,4.259937286376953,4.290744304656982
0.43914,4.2588114738464355,4.213140964508057,4.235976219177246
0.449208,4.28278112411499,4.200037479400635,4.2414093017578125
0.459232,4.25050163269043,4.290025234222412,4.270263433456421
0.469228,4.283738613128662,4.24574089050293,4.264739751815796
0.479213,4.235517978668213,4.265040874481201,4.250279426574707
0.489281,4.271528720855713,4.286352634429932,4.278940677642822
0.499304,4.2324957847595215,4.352492332458496,4.292494058609009
0.5093,4.362481117248535,4.352817535400391,4.357649326324463
0.519285,4.278328895568848,4.369234561920166,4.323781728744507
0.529353,4.349190711975098,4.32000207901001,4.334596395492554
0.539377,4.429248809814453,3.690309762954712,4.0597792863845825
0.549372,4.360958099365234,4.185749053955078,4.273353576660156
0.559358,0,4.303381443023682,2.151690721511841
0.569426,4.341953754425049,4.4289679527282715,4.38546085357666
0.57945,0,4.403378486633301,2.2016892433166504
0.589446,4.342637062072754,4.330446720123291,4.3365418910980225
0.59943,0,4.357959270477295,2.1789796352386475
0.609498,4.318796157836914,4.3317551612854,4.325275659561157
0.619523,4.363571643829346,4.359683036804199,4.3616273403167725
0.629518,4.320555686950684,4.33681583404541,4.328685760498047
0.639503,4.331994533538818,4.338656425476074,4.335325479507446
0.64957,4.301351070404053,4.288519382476807,4.29493522644043
0.659594,4.34765625,4.321623802185059,4.334640026092529
0.669591,4.309324264526367,4.323517322540283,4.316420793533325
0.679575,4.328350067138672,4.373641014099121,4.3509955406188965
0.689643,4.297762393951416,4.325693130493164,4.31172776222229
0.699667,4.269408702850342,4.408133029937744,4.338770866394043
0.709663,4.272240161895752,4.3291015625,4.300670862197876
0.719647,4.270073890686035,4.4072723388671875,4.338673114776611
0.729716,4.263952732086182,4.376278400421143,4.320115566253662
0.73974,4.220727443695068,0,2.110363721847534
0.749735,4.226411819458008,4.318960666656494,4.272686243057251
0.75972,4.273329257965088,4.294197082519531,4.28376317024231
0.769788,4.293033123016357,4.242043972015381,4.267538547515869
0.779812,4.283695697784424,4.3003082275390625,4.292001962661743
0.789807,4.297730922698975,4.237794399261475,4.267762660980225
0.799793,4.2744269371032715,4.320533752441406,4.297480344772339
0.809861,4.298765182495117,4.206597805023193,4.252681493759155
0.819885,4.259988784790039,4.244827747344971,4.252408266067505
0.82988,4.280518054962158,4.173584938049316,4.227051496505737
0.839865,0,4.200957298278809,2.1004786491394043
0.849932,4.28125,4.132184028625488,4.206717014312744
0.859957,4.210933208465576,4.248127460479736,4.229530334472656
0.869953,4.274237155914307,4.1338791847229,4.2040581703186035
0.879938,4.0940937995910645,4.186635494232178,4.140364646911621
0.890006,4.122060775756836,4.086707592010498,4.104384183883667
0.900029,4.020984649658203,4.106539726257324,4.063762187957764
0.910025,4.043823719024658,4.011779308319092,4.027801513671875
0.92001,0,4.054905891418457,2.0274529457092285
0.930078,3.892989158630371,3.957916498184204,3.9254528284072876
0.940102,0,3.823030948638916,1.911515474319458
0.950098,3.823066234588623,3.8402297496795654,3.8316479921340942
0.960083,3.6976563930511475,3.772430181503296,3.7350432872772217
0.97015,3.7151739597320557,3.742133617401123,3.7286537885665894
1.050295,3.7233922481536865,3.699678659439087,3.7115354537963867
1.070315,3.709473133087158,3.6927623748779297,3.701117753982544
1.090368,0,3.6625595092773438,1.8312797546386719
1.110387,3.6927428245544434,3.6684985160827637,3.6806206703186035
1.120372,3.5490825176239014,3.6755428314208984,3.6123126745224
1.130441,3.6322567462921143,3.654750347137451,3.6435035467147827
1.140464,0,3.6694891452789307,1.8347445726394653
1.160445,3.5823252201080322,3.6043574810028076,3.59334135055542
1.170513,0,0,0.0
1.180537,0,0,0.0
1.190532,0,0,0.0
1.24059,0,0,0.0
1.250657,0,0,0.0
1.260683,0,0,0.0
